Date,Close,Returns,Sorted Returns,,Replication,Simulated Returns,,Calculation of Value at Risk,,,,
29-01-2024,1437.41,26.72%,7.02%,,1,2.64%,,,,,,
25-11-2021,1134.32,19.42%,6.02%,,2,4.97%,,Histroical Approach,,,,
28-05-2021,949.85,-20.46%,6.01%,,3,-0.19%,,Mean,,,,1.66%
20-05-2022,1194.16,-20.35%,5.83%,,4,1.49%,,Standard Deviation,,,,1.42%
03-06-2024,1499.23,39.97%,5.59%,,5,2.09%,,Min ,,,,-7.49%
09-03-2022,1071.14,-21.43%,5.31%,,6,4.50%,,Max,,,,7.02%
28-04-2025,1363.35,28.12%,5.26%,,7,2.79%,,CMP,,,,1361
31-03-2023,1064.12,-25.63%,4.31%,,8,0.90%,,,,,,
12-05-2025,1430.79,24.33%,4.31%,,9,2.83%,,Histroical Approach,,,,
17-05-2022,1150.79,-23.43%,4.20%,,10,0.08%,,Mean,,,,1.61%
26-06-2024,1502.90,38.29%,4.12%,,11,0.84%,,Standard Deviation,,,,1.41%
03-09-2021,1086.80,-12.95%,4.10%,,12,-1.27%,,Min ,,,,-2.67%
10-07-2023,1248.54,2.72%,3.85%,,13,1.24%,,Max,,,,5.91%
08-10-2021,1215.45,1.15%,3.84%,,14,3.07%,,CMP,,,,1361
19-04-2022,1201.60,-18.91%,3.81%,,15,1.31%,,,,,,
27-03-2024,1481.88,1.03%,3.56%,,16,3.17%,,Percentile,Confidence,VAR,Stock Price, VAR(INR)
20-10-2025,1466.80,20.97%,3.53%,,17,0.93%,,10.00%,90.00%,-0.11%,1362.43,-1.43
30-05-2022,1212.52,-3.80%,3.48%,,18,-1.00%,,5.00%,95.00%,-0.66%,1370.02,-9.02
22-11-2024,1260.37,1.68%,3.47%,,19,0.88%,,1.00%,99.00%,-1.60%,1382.84,-21.84
02-06-2022,1239.59,0.29%,3.45%,,20,0.62%,,0.50%,99.50%,-2.00%,1388.20,-27.20
28-11-2022,1235.99,12.34%,3.44%,,21,0.30%,,,,,,
15-02-2022,1100.20,-23.44%,3.40%,,22,0.23%,,,,,,
03-02-2026,1437.10,15.45%,3.36%,,23,2.58%,,,,,,
07-03-2025,1244.83,-7.64%,3.32%,,24,0.92%,,,,,,
08-04-2026,1347.80,25.54%,3.31%,,25,0.99%,,,,,,
28-02-2022,1073.62,-22.73%,3.31%,,26,3.23%,,,,,,
05-03-2026,1389.40,23.04%,3.30%,,27,-0.12%,,,,,,
17-03-2022,1129.20,-11.79%,3.26%,,28,5.00%,,,,,,
04-02-2025,1280.09,30.68%,3.15%,,29,3.20%,,,,,,
31-05-2021,979.55,-5.46%,3.13%,,30,0.01%,,,,,,
21-03-2023,1036.11,-10.15%,3.11%,,31,0.47%,,,,,,
28-10-2022,1153.18,-8.69%,3.06%,,32,1.43%,,,,,,
26-04-2022,1262.95,2.10%,2.99%,,33,1.16%,,,,,,
20-04-2022,1236.93,2.67%,2.94%,,34,0.35%,,,,,,
06-03-2025,1204.79,-11.79%,2.89%,,35,0.55%,,,,,,
27-04-2026,1365.80,7.59%,2.86%,,36,0.26%,,,,,,
17-04-2025,1269.43,-2.14%,2.84%,,37,1.21%,,,,,,
17-01-2025,1297.17,6.84%,2.83%,,38,4.52%,,,,,,
11-04-2025,1214.10,-10.71%,2.83%,,39,0.39%,,,,,,
20-05-2026,1359.70,-4.25%,2.80%,,40,0.72%,,,,,,
19-08-2025,1420.10,11.51%,2.78%,,41,-0.80%,,,,,,
09-06-2022,1273.46,11.30%,2.74%,,42,1.54%,,,,,,
26-05-2023,1144.21,0.47%,2.73%,,43,0.05%,,,,,,
20-07-2022,1138.90,-13.41%,2.70%,,44,5.48%,,,,,,
10-01-2024,1315.31,-9.86%,2.70%,,45,-1.01%,,,,,,
07-06-2024,1459.15,27.20%,2.68%,,46,1.59%,,,,,,
12-01-2022,1147.13,-15.02%,2.67%,,47,1.58%,,,,,,
11-01-2024,1349.91,-5.30%,2.63%,,48,2.97%,,,,,,
29-04-2026,1425.40,21.66%,2.63%,,49,1.86%,,,,,,
01-08-2022,1171.59,1.73%,2.61%,,50,1.92%,,,,,,
22-03-2022,1151.70,-3.55%,2.58%,,51,1.45%,,,,,,
03-07-2023,1194.06,6.37%,2.57%,,52,0.86%,,,,,,
01-12-2021,1122.51,3.08%,2.56%,,53,0.06%,,,,,,
03-03-2023,1088.93,-3.88%,2.55%,,54,1.89%,,,,,,
23-09-2021,1132.93,5.23%,2.44%,,55,1.28%,,,,,,
22-12-2021,1076.60,-9.18%,2.37%,,56,2.30%,,,,,,
09-01-2023,1185.43,9.20%,2.36%,,57,1.21%,,,,,,
14-02-2023,1085.59,-14.24%,2.36%,,58,1.93%,,,,,,
21-04-2022,1265.89,5.37%,2.34%,,59,2.54%,,,,,,
11-11-2022,1201.41,-17.73%,2.31%,,60,1.98%,,,,,,
20-06-2025,1460.37,20.61%,2.30%,,61,2.38%,,,,,,
26-10-2021,1210.81,-22.08%,2.28%,,62,1.32%,,,,,,
28-06-2024,1553.90,39.97%,2.28%,,63,1.35%,,,,,,
15-02-2023,1110.18,-24.12%,2.26%,,64,3.81%,,,,,,
04-05-2026,1463.10,4.95%,2.26%,,65,0.99%,,,,,,
29-04-2025,1394.13,24.65%,2.26%,,66,2.72%,,,,,,
04-01-2022,1118.46,3.04%,2.26%,,67,1.00%,,,,,,
30-09-2022,1085.43,-26.86%,2.26%,,68,0.20%,,,,,,
27-10-2025,1484.10,-5.89%,2.24%,,69,1.45%,,,,,,
05-07-2024,1576.95,17.32%,2.23%,,70,-0.55%,,,,,,
15-04-2026,1344.10,-7.11%,2.21%,,71,1.54%,,,,,,
02-02-2024,1446.99,33.25%,2.18%,,72,-2.57%,,,,,,
31-01-2022,1085.93,-26.68%,2.17%,,73,-0.10%,,,,,,
01-03-2024,1481.16,4.72%,2.14%,,74,2.35%,,,,,,
20-03-2026,1414.40,23.87%,2.14%,,75,2.54%,,,,,,
29-07-2022,1141.83,-19.10%,2.13%,,76,1.10%,,,,,,
29-07-2025,1411.46,17.17%,2.13%,,77,4.97%,,,,,,
06-07-2023,1204.58,9.03%,2.10%,,78,1.49%,,,,,,
16-09-2021,1104.86,-23.72%,2.10%,,79,5.29%,,,,,,
15-05-2025,1448.42,22.00%,2.09%,,80,2.25%,,,,,,
05-10-2021,1187.22,1.13%,2.08%,,81,0.22%,,,,,,
29-06-2022,1174.00,2.29%,2.08%,,82,2.39%,,,,,,
30-10-2023,1147.76,-10.10%,2.06%,,83,2.99%,,,,,,
17-07-2023,1276.68,0.95%,2.04%,,84,2.96%,,,,,,
03-06-2022,1264.71,-2.48%,2.03%,,85,4.35%,,,,,,
24-03-2025,1296.92,20.79%,2.02%,,86,1.43%,,,,,,
08-02-2023,1073.66,-30.69%,2.00%,,87,2.36%,,,,,,
20-11-2025,1549.10,-1.36%,1.99%,,88,2.69%,,,,,,
31-12-2025,1570.40,24.59%,1.99%,,89,3.06%,,,,,,
08-01-2025,1260.47,-19.71%,1.99%,,90,1.65%,,,,,,
26-11-2025,1569.90,6.51%,1.96%,,91,5.08%,,,,,,
12-09-2024,1473.91,5.90%,1.95%,,92,2.16%,,,,,,
08-10-2024,1391.79,34.73%,1.94%,,93,3.17%,,,,,,
30-08-2021,1032.99,-15.07%,1.92%,,94,2.03%,,,,,,
30-03-2022,1216.22,-18.34%,1.92%,,95,4.48%,,,,,,
26-06-2025,1489.35,-2.02%,1.91%,,96,1.31%,,,,,,
27-09-2024,1520.10,11.02%,1.88%,,97,0.47%,,,,,,
01-04-2026,1369.20,10.78%,1.88%,,98,2.54%,,,,,,
07-01-2025,1235.91,-18.81%,1.88%,,99,1.78%,,,,,,
01-07-2025,1522.32,38.19%,1.85%,,100,1.00%,,,,,,
04-10-2022,1101.62,-0.30%,1.84%,,101,1.49%,,,,,,
28-04-2023,1104.95,17.17%,1.83%,,102,-0.65%,,,,,,
02-08-2021,943.01,-19.37%,1.83%,,103,0.13%,,,,,,
15-11-2023,1169.57,-20.71%,1.81%,,104,-0.76%,,,,,,
08-04-2024,1475.06,31.17%,1.77%,,105,2.49%,,,,,,
27-10-2023,1124.58,0.50%,1.77%,,106,2.44%,,,,,,
18-10-2022,1118.99,-11.48%,1.76%,,107,0.50%,,,,,,
20-03-2025,1264.10,-9.60%,1.76%,,108,3.42%,,,,,,
16-10-2025,1398.30,22.82%,1.75%,,109,-0.66%,,,,,,
19-10-2022,1138.46,-22.82%,1.74%,,110,0.79%,,,,,,
23-05-2024,1475.13,0.80%,1.74%,,111,2.19%,,,,,,
09-08-2024,1463.47,18.48%,1.74%,,112,0.08%,,,,,,
15-04-2025,1235.17,22.66%,1.74%,,113,1.52%,,,,,,
11-06-2021,1007.01,-30.55%,1.73%,,114,0.02%,,,,,,
22-05-2024,1449.92,4.77%,1.71%,,115,1.99%,,,,,,
15-01-2024,1383.88,7.96%,1.71%,,116,2.42%,,,,,,
25-11-2024,1281.88,-7.71%,1.71%,,117,-0.59%,,,,,,
28-04-2026,1388.90,27.01%,1.69%,,118,1.25%,,,,,,
16-03-2022,1093.55,8.28%,1.69%,,119,0.51%,,,,,,
07-06-2021,1009.97,-21.53%,1.68%,,120,2.03%,,,,,,
29-11-2024,1287.06,4.06%,1.68%,,121,0.03%,,,,,,
02-01-2025,1236.86,7.68%,1.68%,,122,1.63%,,,,,,
27-09-2021,1148.66,7.15%,1.68%,,123,1.47%,,,,,,
08-02-2022,1072.03,-23.99%,1.68%,,124,0.55%,,,,,,
05-06-2024,1410.31,44.46%,1.68%,,125,2.19%,,,,,,
13-08-2021,976.30,-17.97%,1.67%,,126,0.63%,,,,,,
08-04-2022,1190.15,9.05%,1.66%,,127,3.20%,,,,,,
02-03-2022,1091.37,-15.42%,1.65%,,128,2.36%,,,,,,
21-04-2025,1290.35,3.28%,1.65%,,129,2.40%,,,,,,
26-07-2023,1249.41,14.78%,1.63%,,130,2.54%,,,,,,
10-03-2022,1088.50,-9.14%,1.62%,,131,2.07%,,,,,,
12-08-2022,1198.05,-12.23%,1.62%,,132,0.27%,,,,,,
17-04-2026,1365.00,16.09%,1.62%,,133,3.19%,,,,,,
21-06-2022,1175.80,6.93%,1.61%,,134,-0.41%,,,,,,
17-10-2022,1099.59,-5.53%,1.61%,,135,2.57%,,,,,,
11-10-2023,1163.91,4.13%,1.59%,,136,-0.02%,,,,,,
09-12-2021,1117.71,-0.03%,1.59%,,137,1.03%,,,,,,
28-07-2022,1118.01,-25.27%,1.57%,,138,4.42%,,,,,,
06-11-2025,1496.10,46.47%,1.56%,,139,1.11%,,,,,,
27-03-2023,1021.43,-12.94%,1.55%,,140,-0.60%,,,,,,
24-03-2022,1173.32,6.31%,1.55%,,141,1.24%,,,,,,
